Country,Happiness.Rank,Happiness.Score,Whisker.high,Whisker.low,Economy..GDP/Capita.,Family,Health..Life.Expectancy.,Freedom,Generosity,Trust..Government.Corruption.,Dystopia.Residual,Binary Happiness Score
Belgium,17,"6,8910","6,9558","6,8262","1,4638","1,4623","0,8181","0,5398","0,2315","0,2513","2,1242","1,0000"
Luxembourg,18,"6,8630","6,9237","6,8023","1,7419","1,4576","0,8451","0,5966","0,2832","0,3188","1,6195","1,0000"
United Kingdom,19,"6,7140","6,7838","6,6442","1,4416","1,4965","0,8053","0,5082","0,4928","0,2654","1,7041","1,0000"
Chile,20,"6,6520","6,7393","6,5647","1,2528","1,2840","0,8195","0,3769","0,3267","0,0823","2,5096","1,0000"
United Arab Emirates,21,"6,6480","6,7220","6,5740","1,6263","1,2664","0,7268","0,6083","0,3609","0,3245","1,7347","1,0000"
Brazil,22,"6,6350","6,7255","6,5445","1,1074","1,4313","0,6166","0,4375","0,1623","0,1111","2,7693","1,0000"
Czech Republic,23,"6,6090","6,6839","6,5341","1,3527","1,4339","0,7544","0,4909","0,0881","0,0369","2,4519","1,0000"
Argentina,24,"6,5990","6,6901","6,5079","1,1853","1,4405","0,6951","0,4945","0,1095","0,0597","2,6140","1,0000"
Mexico,25,"6,5780","6,6711","6,4849","1,1532","1,2109","0,7100","0,4127","0,1210","0,1328","2,8372","1,0000"
Singapore,26,"6,5720","6,6367","6,5073","1,6923","1,3538","0,9495","0,5498","0,3460","0,4643","1,2164","1,0000"
Malta,27,"6,5270","6,5984","6,4556","1,3433","1,4884","0,8219","0,5888","0,5747","0,1531","1,5569","1,0000"
Uruguay,28,"6,4540","6,5459","6,3621","1,2176","1,4122","0,7192","0,5794","0,1751","0,1781","2,1724","1,0000"
Guatemala,29,"6,4540","6,5669","6,3411","0,8720","1,2556","0,5402","0,5313","0,2835","0,0772","2,8939","1,0000"
Panama,30,"6,4520","6,5571","6,3469","1,2337","1,3732","0,7062","0,5500","0,2106","0,0710","2,3072","1,0000"
France,31,"6,4420","6,5158","6,3682","1,4309","1,3878","0,8445","0,4702","0,1298","0,1725","2,0060","1,0000"
Thailand,32,"6,4240","6,5091","6,3389","1,1279","1,4258","0,6472","0,5802","0,5721","0,0316","2,0395","1,0000"
Taiwan Province of China,33,"6,4220","6,4946","6,3494","1,4336","1,3846","0,7940","0,3615","0,2584","0,0638","2,1266","1,0000"
Spain,34,"6,4030","6,4711","6,3349","1,3844","1,5321","0,8890","0,4088","0,1901","0,0709","1,9278","1,0000"
Qatar,35,"6,3750","6,5685","6,1815","1,8708","1,2743","0,7101","0,6041","0,3305","0,4393","1,1455","1,0000"
Colombia,36,"6,3570","6,4520","6,2620","1,0706","1,4022","0,5950","0,4775","0,1490","0,0467","2,6161","1,0000"
Saudi Arabia,37,"6,3440","6,4442","6,2438","1,5306","1,2867","0,5901","0,4498","0,1476","0,2734","2,0654","1,0000"
Trinidad and Tobago,38,"6,1680","6,3815","5,9545","1,3614","1,3802","0,5200","0,5186","0,3253","0,0090","2,0532","1,0000"
Kuwait,39,"6,1050","6,1920","6,0180","1,6330","1,2597","0,6321","0,4963","0,2283","0,2152","1,6404","1,0000"
Slovakia,40,"6,0980","6,1773","6,0187","1,3254","1,5051","0,7127","0,2958","0,1365","0,0242","2,0978","1,0000"
Bahrain,41,"6,0870","6,1790","5,9950","1,4884","1,3231","0,6531","0,5367","0,1727","0,2570","1,6561","1,0000"
Malaysia,42,"6,0840","6,1800","5,9880","1,2912","1,2846","0,6188","0,4023","0,4166","0,0656","2,0044","1,0000"
Nicaragua,43,"6,0710","6,1866","5,9554","0,7373","1,2872","0,6531","0,4476","0,3017","0,1307","2,5139","1,0000"
Ecuador,44,"6,0080","6,1058","5,9102","1,0008","1,2862","0,6856","0,4552","0,1501","0,1401","2,2904","1,0000"
El Salvador,45,"6,0030","6,1086","5,8974","0,9098","1,1821","0,5960","0,4325","0,0783","0,0900","2,7146","1,0000"
Poland,46,"5,9730","6,0539","5,8921","1,2918","1,4457","0,6995","0,5203","0,1585","0,0593","1,7977","1,0000"
Uzbekistan,47,"5,9710","6,0655","5,8765","0,7864","1,5490","0,4983","0,6582","0,4160","0,2465","1,8169","1,0000"
Italy,48,"5,9640","6,0427","5,8853","1,3951","1,4449","0,8531","0,2565","0,1728","0,0280","1,8133","1,0000"
Russia,49,"5,9630","6,0303","5,8957","1,2818","1,4693","0,5473","0,3738","0,0523","0,0330","2,2056","1,0000"
Belize,50,"5,9560","6,1972","5,7148","0,9080","1,0814","0,4502","0,5475","0,2400","0,0966","2,6320","1,0000"
Japan,51,"5,9200","5,9907","5,8493","1,4169","1,4363","0,9135","0,5056","0,1206","0,1638","1,3632","1,0000"
Lithuania,52,"5,9020","5,9827","5,8213","1,3146","1,4735","0,6289","0,2342","0,0102","0,0119","2,2284","1,0000"
Algeria,53,"5,8720","5,9783","5,7657","1,0919","1,1462","0,6176","0,2333","0,0694","0,1461","2,5676","1,0000"
Latvia,54,"5,8500","5,9203","5,7797","1,2607","1,4047","0,6386","0,3257","0,1531","0,0738","1,9937","1,0000"
South Korea,55,"5,8380","5,9226","5,7534","1,4017","1,1283","0,9002","0,2579","0,2067","0,0633","1,8804","1,0000"
Moldova,56,"5,8380","5,9084","5,7676","0,7289","1,2518","0,5895","0,2407","0,2088","0,0101","2,8078","1,0000"
Romania,57,"5,8250","5,9197","5,7303","1,2177","1,1501","0,6852","0,4570","0,1335","0,0044","2,1768","1,0000"
Bolivia,58,"5,8230","5,9040","5,7420","0,8338","1,2276","0,4736","0,5587","0,2256","0,0605","2,4433","1,0000"
Turkmenistan,59,"5,8220","5,8852","5,7588","1,1308","1,4931","0,4377","0,4183","0,2499","0,2593","1,8329","1,0000"
Kazakhstan,60,"5,8190","5,9036","5,7344","1,2846","1,3844","0,6060","0,4375","0,2020","0,1193","1,7849","1,0000"
North Cyprus,61,"5,8100","5,8974","5,7226","1,3469","1,1863","0,8346","0,4712","0,2668","0,1554","1,5492","1,0000"
Slovenia,62,"5,7580","5,8422","5,6738","1,3412","1,4525","0,7908","0,5726","0,2426","0,0451","1,3133","1,0000"
Peru,63,"5,7150","5,8119","5,6181","1,0352","1,2188","0,6302","0,4500","0,1268","0,0470","2,2073","1,0000"
Mauritius,64,"5,6290","5,7299","5,5281","1,1894","1,2096","0,6380","0,4912","0,3609","0,0422","1,6976","1,0000"
Cyprus,65,"5,6210","5,7147","5,5273","1,3559","1,1314","0,8447","0,3551","0,2713","0,0412","1,6212","1,0000"
Estonia,66,"5,6110","5,6881","5,5339","1,3209","1,4767","0,6952","0,4791","0,0989","0,1832","1,3575","1,0000"
Belarus,67,"5,5690","5,6461","5,4919","1,1566","1,4449","0,6377","0,2954","0,1551","0,1563","1,7232","1,0000"
Libya,68,"5,5250","5,6770","5,3730","1,1018","1,3576","0,5202","0,4657","0,1521","0,0926","1,8350","1,0000"
Turkey,69,"43 225,0000","5,5949","5,4051","1,1983","1,3378","0,6376","0,3007","0,0467","0,0997","1,8793","1,0000"
Paraguay,70,"5,4930","5,5774","5,4086","0,9325","1,5073","0,5793","0,4735","0,2242","0,0911","1,6853","1,0000"
"Hong Kong S.A.R., China",71,"5,4720","5,5496","5,3944","1,5517","1,2628","0,9431","0,4910","0,3745","0,2939","0,5546","1,0000"
Philippines,72,"5,4300","5,5453","5,3147","0,8577","1,2539","0,4680","0,5852","0,1935","0,0993","1,9726","1,0000"
Serbia,73,"5,3950","5,4916","5,2984","1,0693","1,2582","0,6508","0,2087","0,2201","0,0409","1,9471","1,0000"
Jordan,74,"5,3360","5,4484","5,2236","0,9910","1,2391","0,6046","0,4184","0,1722","0,1198","1,7912","1,0000"
Hungary,75,"5,3240","5,4030","5,2450","1,2860","1,3431","0,6878","0,1759","0,0784","0,0366","1,7165","1,0000"
Jamaica,76,"5,3110","5,5814","5,0406","0,9256","1,3682","0,6410","0,4743","0,2338","0,0553","1,6123","1,0000"
Croatia,77,"5,2930","5,3918","5,1942","1,2226","0,9680","0,7013","0,2558","0,2480","0,0431","1,8545","1,0000"
Kosovo,78,"5,2790","5,3648","5,1932","0,9515","1,1379","0,5415","0,2603","0,3199","0,0575","2,0105","1,0000"
China,79,"5,2730","5,3193","5,2267","1,0812","1,1608","0,7414","0,4728","0,0288","0,0228","1,7649","1,0000"
Pakistan,80,"5,2690","5,3600","5,1780","0,7269","0,6727","0,4020","0,2352","0,3154","0,1243","2,7925","1,0000"
Indonesia,81,"5,2620","5,3529","5,1711","0,9955","1,2744","0,4923","0,4433","0,6117","0,0153","1,4295","1,0000"
Venezuela,82,"43 245,0000","5,3700","5,1300","1,1284","1,4313","0,6171","0,1540","0,0650","0,0645","1,7895","1,0000"
Montenegro,83,"5,2370","5,3410","5,1330","1,1211","1,2384","0,6675","0,1950","0,1979","0,0882","1,7292","1,0000"
Morocco,84,"5,2350","5,3183","5,1517","0,8781","0,7749","0,5977","0,4082","0,0322","0,0878","2,4562","1,0000"
Azerbaijan,85,"5,2340","5,2993","5,1687","1,1536","1,1524","0,5408","0,3982","0,0453","0,1810","1,7625","1,0000"
Dominican Republic,86,"5,2300","5,3491","5,1109","1,0794","1,4024","0,5749","0,5526","0,1870","0,1139","1,3195","1,0000"
Greece,87,"5,2270","5,3252","5,1288","1,2895","1,2394","0,8102","0,0957","0,0000","0,0433","1,7492","1,0000"
Lebanon,88,"5,2250","5,3189","5,1311","1,0750","1,1296","0,7351","0,2885","0,2645","0,0375","1,6951","1,0000"
Portugal,89,"5,1950","5,2850","5,1050","1,3152","1,3670","0,7958","0,4985","0,0951","0,0159","1,1077","1,0000"
Bosnia and Herzegovina,90,"5,1820","5,2763","5,0877","0,9824","1,0693","0,7052","0,2044","0,3289","0,0000","1,8922","1,0000"
Honduras,91,"5,1810","5,3016","5,0604","0,7306","1,1439","0,5826","0,3481","0,2362","0,0733","2,0658","1,0000"
Macedonia,92,"5,1750","5,2722","5,0778","1,0646","1,2079","0,6449","0,3259","0,2538","0,0603","1,6175","1,0000"
Somalia,93,"5,1510","5,2425","5,0595","0,0226","0,7212","0,1140","0,6021","0,2916","0,2824","3,1175","1,0000"
Vietnam,94,"5,0740","5,1473","5,0007","0,7885","1,2775","0,6522","0,5711","0,2350","0,0876","1,4623","1,0000"
Nigeria,95,"5,07","5,21","4,94","0,78","1,22","0,06","0,39","0,23","0,03","2,37","1,0000"
Tajikistan,96,"5,04","5,11","4,97","0,52","1,27","0,53","0,47","0,25","0,15","1,85","1,0000"
Bhutan,97,"5,01","5,08","4,94","0,89","1,34","0,50","0,50","0,47","0,17","1,14","1,0000"
Kyrgyzstan,98,"5,00","5,09","4,92","0,60","1,39","0,55","0,45","0,43","0,04","1,54","1,0000"
Nepal,99,"4,96","5,07","4,86","0,48","1,18","0,50","0,44","0,39","0,07","1,89","0,0000"
Mongolia,100,"4,95","5,02","4,89","1,03","1,49","0,56","0,39","0,34","0,03","1,11","0,0000"
South Africa,101,"4,83","4,93","4,73","1,05","1,38","0,19","0,48","0,14","0,07","1,51","0,0000"
Tunisia,102,"4,80","4,88","4,73","1,01","0,87","0,61","0,29","0,05","0,09","1,89","0,0000"
Palestinian Territories,103,"4,78","4,88","4,67","0,72","1,16","0,57","0,25","0,11","0,09","1,88","0,0000"
Egypt,104,"4,74","4,83","4,64","0,99","1,00","0,52","0,28","0,13","0,11","1,70","0,0000"
Bulgaria,105,"4,71","4,80","4,62","1,16","1,43","0,71","0,29","0,11","0,01","1,00","0,0000"
Sierra Leone,106,"4,71","4,85","4,57","0,37","0,98","0,01","0,32","0,29","0,07","2,67","0,0000"
Cameroon,107,"4,70","4,80","4,59","0,56","0,95","0,13","0,43","0,24","0,05","2,33","0,0000"
Iran,108,"4,69","4,80","4,59","1,16","0,71","0,64","0,25","0,39","0,05","1,50","0,0000"
Albania,109,"4,64","4,75","4,54","1,00","0,80","0,73","0,38","0,20","0,04","1,49","0,0000"
Bangladesh,110,"4,61","4,69","4,53","0,59","0,74","0,53","0,48","0,17","0,12","1,98","0,0000"
Namibia,111,"4,57","4,77","4,38","0,96","1,10","0,34","0,52","0,08","0,09","1,48","0,0000"
Kenya,112,"4,55","4,66","4,45","0,56","1,07","0,31","0,45","0,44","0,06","1,65","0,0000"
Mozambique,113,"4,55","4,77","4,33","0,23","0,87","0,11","0,48","0,32","0,18","2,36","0,0000"
Myanmar,114,"4,55","4,61","4,48","0,37","1,12","0,40","0,51","0,84","0,19","1,12","0,0000"
Senegal,115,"4,53","4,60","4,47","0,48","1,18","0,41","0,38","0,18","0,12","1,79","0,0000"
Zambia,116,"4,51","4,64","4,38","0,64","1,00","0,26","0,46","0,25","0,08","1,83","0,0000"
Iraq,117,"4,50","4,62","4,37","1,10","0,98","0,50","0,29","0,20","0,11","1,32","0,0000"
Gabon,118,"4,47","4,56","4,37","1,20","1,16","0,36","0,31","0,04","0,08","1,32","0,0000"
Ethiopia,119,"4,46","4,54","4,38","0,34","0,86","0,35","0,41","0,31","0,17","2,02","0,0000"
Sri Lanka,120,"4,44","4,55","4,33","1,01","1,26","0,63","0,56","0,49","0,07","0,42","0,0000"
Armenia,121,"4,38","4,47","4,29","0,90","1,01","0,64","0,20","0,08","0,03","1,52","0,0000"
India,122,"4,32","4,37","4,26","0,79","0,75","0,46","0,47","0,23","0,09","1,52","0,0000"
Mauritania,123,"4,29","4,38","4,21","0,65","1,27","0,29","0,10","0,20","0,14","1,65","0,0000"
Congo (Brazzaville),124,"4,29","4,41","4,17","0,81","0,83","0,29","0,44","0,12","0,08","1,72","0,0000"
Georgia,125,"4,29","4,37","4,20","0,95","0,57","0,65","0,31","0,05","0,25","1,50","0,0000"
Congo (Kinshasa),126,"4,28","4,36","4,20","0,09","1,23","0,19","0,24","0,25","0,06","2,22","0,0000"
Mali,127,"4,19","4,27","4,11","0,48","1,28","0,17","0,31","0,18","0,10","1,67","0,0000"
Ivory Coast,128,"4,18","4,28","4,08","0,60","0,90","0,05","0,45","0,20","0,13","1,84","0,0000"
Cambodia,129,"4,17","4,28","4,06","0,60","1,01","0,43","0,63","0,39","0,07","1,04","0,0000"
Sudan,130,"4,14","4,35","3,93","0,66","1,21","0,29","0,01","0,18","0,09","1,69","0,0000"
Ghana,131,"4,12","4,22","4,02","0,67","0,87","0,30","0,42","0,26","0,03","1,58","0,0000"
Ukraine,132,"4,10","4,19","4,01","0,89","1,39","0,58","0,12","0,27","0,02","0,81","0,0000"
Uganda,133,"4,08","4,20","3,97","0,38","1,13","0,22","0,44","0,33","0,06","1,53","0,0000"
Burkina Faso,134,"4,03","4,12","3,94","0,35","1,04","0,22","0,32","0,25","0,12","1,73","0,0000"
Niger,135,"4,03","4,11","3,94","0,16","0,99","0,27","0,36","0,23","0,14","1,87","0,0000"
Malawi,136,"3,97","4,08","3,86","0,23","0,51","0,32","0,47","0,29","0,07","2,08","0,0000"
Chad,137,"3,94","4,03","3,84","0,44","0,95","0,04","0,16","0,22","0,05","2,07","0,0000"
Zimbabwe,138,"3,88","3,98","3,77","0,38","1,08","0,20","0,34","0,19","0,10","1,60","0,0000"
Lesotho,139,"3,81","4,04","3,57","0,52","1,19","0,00","0,39","0,16","0,12","1,43","0,0000"
Angola,140,"3,80","3,95","3,64","0,86","1,10","0,05","0,00","0,10","0,07","1,61","0,0000"
Afghanistan,141,"3,79","3,87","3,71","0,40","0,58","0,18","0,11","0,31","0,06","2,15","0,0000"
Botswana,142,"3,77","3,87","3,66","1,12","1,22","0,34","0,51","0,10","0,10","0,38","0,0000"
Benin,143,"3,66","3,75","3,57","0,43","0,44","0,21","0,43","0,21","0,06","1,89","0,0000"
Madagascar,144,"3,64","3,71","3,57","0,31","0,91","0,38","0,19","0,21","0,07","1,58","0,0000"
Haiti,145,"3,60","3,73","3,47","0,37","0,64","0,28","0,03","0,49","0,10","1,70","0,0000"
Yemen,146,"3,59","3,69","3,49","0,59","0,94","0,31","0,25","0,10","0,06","1,35","0,0000"
South Sudan,147,"3,59","3,73","3,46","0,40","0,60","0,16","0,15","0,29","0,12","1,88","0,0000"
Liberia,148,"3,53","3,65","3,41","0,12","0,87","0,23","0,33","0,27","0,04","1,67","0,0000"
Guinea,149,"3,51","3,58","3,43","0,24","0,79","0,19","0,35","0,26","0,11","1,55","0,0000"
Togo,150,"3,49","3,59","3,40","0,31","0,43","0,25","0,38","0,20","0,10","1,84","0,0000"
Rwanda,151,"3,47","3,54","3,40","0,37","0,95","0,33","0,58","0,25","0,46","0,54","0,0000"
Syria,152,"3,46","3,66","3,26","0,78","0,40","0,50","0,08","0,49","0,15","1,06","0,0000"
Tanzania,153,"3,35","3,46","3,24","0,51","1,04","0,36","0,39","0,35","0,07","0,62","0,0000"
Burundi,154,"2,90","3,07","2,74","0,09","0,63","0,15","0,06","0,20","0,08","1,68","0,0000"
Central African Republic,155,"2,69","2,86","2,52","0,00","0,00","0,02","0,27","0,28","0,06","2,07","0,0000"
